Item_ID,Appraiser,Trial,Counted_Quantity,True_Quantity,Standard,Exact_Match,Acceptable,Category
ITEM001,Pharmacy Staff,1,8,7,7,False,True,Accurate
ITEM001,Pharmacy Staff,2,7,7,7,True,True,Accurate
ITEM001,Warehouse Team,1,7,7,7,True,True,Accurate
ITEM001,Warehouse Team,2,7,7,7,True,True,Accurate
ITEM001,Team Leader,1,8,7,7,False,True,Accurate
ITEM001,Team Leader,2,7,7,7,True,True,Accurate
ITEM002,Pharmacy Staff,1,8,8,8,True,True,Accurate
ITEM002,Pharmacy Staff,2,8,8,8,True,True,Accurate
ITEM002,Warehouse Team,1,8,8,8,True,True,Accurate
ITEM002,Warehouse Team,2,8,8,8,True,True,Accurate
ITEM002,Team Leader,1,8,8,8,True,True,Accurate
ITEM002,Team Leader,2,8,8,8,True,True,Accurate
ITEM003,Pharmacy Staff,1,13,13,13,True,True,Accurate
ITEM003,Pharmacy Staff,2,13,13,13,True,True,Accurate
ITEM003,Warehouse Team,1,13,13,13,True,True,Accurate
ITEM003,Warehouse Team,2,13,13,13,True,True,Accurate
ITEM003,Team Leader,1,13,13,13,True,True,Accurate
ITEM003,Team Leader,2,12,13,13,False,True,Accurate
ITEM004,Pharmacy Staff,1,18,19,19,False,True,Accurate
ITEM004,Pharmacy Staff,2,19,19,19,True,True,Accurate
ITEM004,Warehouse Team,1,20,19,19,False,True,Accurate
ITEM004,Warehouse Team,2,19,19,19,True,True,Accurate
ITEM004,Team Leader,1,19,19,19,True,True,Accurate
ITEM004,Team Leader,2,19,19,19,True,True,Accurate
ITEM005,Pharmacy Staff,1,12,11,11,False,True,Accurate
ITEM005,Pharmacy Staff,2,13,11,11,False,False,Overcount
ITEM005,Warehouse Team,1,11,11,11,True,True,Accurate
ITEM005,Warehouse Team,2,9,11,11,False,False,Undercount
ITEM005,Team Leader,1,11,11,11,True,True,Accurate
ITEM005,Team Leader,2,11,11,11,True,True,Accurate
ITEM006,Pharmacy Staff,1,8,8,8,True,True,Accurate
ITEM006,Pharmacy Staff,2,8,8,8,True,True,Accurate
ITEM006,Warehouse Team,1,7,8,8,False,True,Accurate
ITEM006,Warehouse Team,2,8,8,8,True,True,Accurate
ITEM006,Team Leader,1,8,8,8,True,True,Accurate
ITEM006,Team Leader,2,8,8,8,True,True,Accurate
ITEM007,Pharmacy Staff,1,64,80,80,False,False,Undercount
ITEM007,Pharmacy Staff,2,79,80,80,False,True,Accurate
ITEM007,Warehouse Team,1,80,80,80,True,True,Accurate
ITEM007,Warehouse Team,2,81,80,80,False,True,Accurate
ITEM007,Team Leader,1,79,80,80,False,True,Accurate
ITEM007,Team Leader,2,80,80,80,True,True,Accurate
ITEM008,Pharmacy Staff,1,5,5,5,True,True,Accurate
ITEM008,Pharmacy Staff,2,5,5,5,True,True,Accurate
ITEM008,Warehouse Team,1,5,5,5,True,True,Accurate
ITEM008,Warehouse Team,2,5,5,5,True,True,Accurate
ITEM008,Team Leader,1,5,5,5,True,True,Accurate
ITEM008,Team Leader,2,5,5,5,True,True,Accurate
ITEM009,Pharmacy Staff,1,93,94,94,False,True,Accurate
ITEM009,Pharmacy Staff,2,95,94,94,False,True,Accurate
ITEM009,Warehouse Team,1,95,94,94,False,True,Accurate
ITEM009,Warehouse Team,2,94,94,94,True,True,Accurate
ITEM009,Team Leader,1,93,94,94,False,True,Accurate
ITEM009,Team Leader,2,94,94,94,True,True,Accurate
ITEM010,Pharmacy Staff,1,76,94,94,False,False,Undercount
ITEM010,Pharmacy Staff,2,93,94,94,False,True,Accurate
ITEM010,Warehouse Team,1,94,94,94,True,True,Accurate
ITEM010,Warehouse Team,2,95,94,94,False,True,Accurate
ITEM010,Team Leader,1,94,94,94,True,True,Accurate
ITEM010,Team Leader,2,94,94,94,True,True,Accurate
ITEM011,Pharmacy Staff,1,44,43,43,False,True,Accurate
ITEM011,Pharmacy Staff,2,44,43,43,False,True,Accurate
ITEM011,Warehouse Team,1,43,43,43,True,True,Accurate
ITEM011,Warehouse Team,2,42,43,43,False,True,Accurate
ITEM011,Team Leader,1,42,43,43,False,True,Accurate
ITEM011,Team Leader,2,43,43,43,True,True,Accurate
ITEM012,Pharmacy Staff,1,3,3,3,True,True,Accurate
ITEM012,Pharmacy Staff,2,4,3,3,False,True,Accurate
ITEM012,Warehouse Team,1,3,3,3,True,True,Accurate
ITEM012,Warehouse Team,2,3,3,3,True,True,Accurate
ITEM012,Team Leader,1,3,3,3,True,True,Accurate
ITEM012,Team Leader,2,3,3,3,True,True,Accurate
ITEM013,Pharmacy Staff,1,41,41,41,True,True,Accurate
ITEM013,Pharmacy Staff,2,42,41,41,False,True,Accurate
ITEM013,Warehouse Team,1,41,41,41,True,True,Accurate
ITEM013,Warehouse Team,2,49,41,41,False,False,Overcount
ITEM013,Team Leader,1,41,41,41,True,True,Accurate
ITEM013,Team Leader,2,40,41,41,False,True,Accurate
ITEM014,Pharmacy Staff,1,5,5,5,True,True,Accurate
ITEM014,Pharmacy Staff,2,5,5,5,True,True,Accurate
ITEM014,Warehouse Team,1,6,5,5,False,True,Accurate
ITEM014,Warehouse Team,2,5,5,5,True,True,Accurate
ITEM014,Team Leader,1,4,5,5,False,True,Accurate
ITEM014,Team Leader,2,5,5,5,True,True,Accurate
ITEM015,Pharmacy Staff,1,1,2,2,False,True,Accurate
ITEM015,Pharmacy Staff,2,2,2,2,True,True,Accurate
ITEM015,Warehouse Team,1,2,2,2,True,True,Accurate
ITEM015,Warehouse Team,2,3,2,2,False,True,Accurate
ITEM015,Team Leader,1,2,2,2,True,True,Accurate
ITEM015,Team Leader,2,2,2,2,True,True,Accurate
ITEM016,Pharmacy Staff,1,12,12,12,True,True,Accurate
ITEM016,Pharmacy Staff,2,12,12,12,True,True,Accurate
ITEM016,Warehouse Team,1,12,12,12,True,True,Accurate
ITEM016,Warehouse Team,2,12,12,12,True,True,Accurate
ITEM016,Team Leader,1,12,12,12,True,True,Accurate
ITEM016,Team Leader,2,13,12,12,False,True,Accurate
ITEM017,Pharmacy Staff,1,16,16,16,True,True,Accurate
ITEM017,Pharmacy Staff,2,13,16,16,False,False,Undercount
ITEM017,Warehouse Team,1,16,16,16,True,True,Accurate
ITEM017,Warehouse Team,2,16,16,16,True,True,Accurate
ITEM017,Team Leader,1,17,16,16,False,True,Accurate
ITEM017,Team Leader,2,16,16,16,True,True,Accurate
ITEM018,Pharmacy Staff,1,14,14,14,True,True,Accurate
ITEM018,Pharmacy Staff,2,14,14,14,True,True,Accurate
ITEM018,Warehouse Team,1,14,14,14,True,True,Accurate
ITEM018,Warehouse Team,2,14,14,14,True,True,Accurate
ITEM018,Team Leader,1,14,14,14,True,True,Accurate
ITEM018,Team Leader,2,14,14,14,True,True,Accurate
ITEM019,Pharmacy Staff,1,9,10,10,False,True,Accurate
ITEM019,Pharmacy Staff,2,10,10,10,True,True,Accurate
ITEM019,Warehouse Team,1,10,10,10,True,True,Accurate
ITEM019,Warehouse Team,2,11,10,10,False,True,Accurate
ITEM019,Team Leader,1,10,10,10,True,True,Accurate
ITEM019,Team Leader,2,10,10,10,True,True,Accurate
ITEM020,Pharmacy Staff,1,20,21,21,False,True,Accurate
ITEM020,Pharmacy Staff,2,22,21,21,False,True,Accurate
ITEM020,Warehouse Team,1,21,21,21,True,True,Accurate
ITEM020,Warehouse Team,2,20,21,21,False,True,Accurate
ITEM020,Team Leader,1,22,21,21,False,True,Accurate
ITEM020,Team Leader,2,21,21,21,True,True,Accurate
ITEM021,Pharmacy Staff,1,20,20,20,True,True,Accurate
ITEM021,Pharmacy Staff,2,20,20,20,True,True,Accurate
ITEM021,Warehouse Team,1,20,20,20,True,True,Accurate
ITEM021,Warehouse Team,2,19,20,20,False,True,Accurate
ITEM021,Team Leader,1,20,20,20,True,True,Accurate
ITEM021,Team Leader,2,20,20,20,True,True,Accurate
ITEM022,Pharmacy Staff,1,11,12,12,False,True,Accurate
ITEM022,Pharmacy Staff,2,12,12,12,True,True,Accurate
ITEM022,Warehouse Team,1,11,12,12,False,True,Accurate
ITEM022,Warehouse Team,2,12,12,12,True,True,Accurate
ITEM022,Team Leader,1,12,12,12,True,True,Accurate
ITEM022,Team Leader,2,12,12,12,True,True,Accurate
ITEM023,Pharmacy Staff,1,6,5,5,False,True,Accurate
ITEM023,Pharmacy Staff,2,4,5,5,False,True,Accurate
ITEM023,Warehouse Team,1,5,5,5,True,True,Accurate
ITEM023,Warehouse Team,2,5,5,5,True,True,Accurate
ITEM023,Team Leader,1,5,5,5,True,True,Accurate
ITEM023,Team Leader,2,5,5,5,True,True,Accurate
ITEM024,Pharmacy Staff,1,1,1,1,True,True,Accurate
ITEM024,Pharmacy Staff,2,0,1,1,False,True,Accurate
ITEM024,Warehouse Team,1,1,1,1,True,True,Accurate
ITEM024,Warehouse Team,2,1,1,1,True,True,Accurate
ITEM024,Team Leader,1,1,1,1,True,True,Accurate
ITEM024,Team Leader,2,1,1,1,True,True,Accurate
ITEM025,Pharmacy Staff,1,16,16,16,True,True,Accurate
ITEM025,Pharmacy Staff,2,16,16,16,True,True,Accurate
ITEM025,Warehouse Team,1,16,16,16,True,True,Accurate
ITEM025,Warehouse Team,2,16,16,16,True,True,Accurate
ITEM025,Team Leader,1,16,16,16,True,True,Accurate
ITEM025,Team Leader,2,16,16,16,True,True,Accurate
ITEM026,Pharmacy Staff,1,78,77,77,False,True,Accurate
ITEM026,Pharmacy Staff,2,62,77,77,False,False,Undercount
ITEM026,Warehouse Team,1,77,77,77,True,True,Accurate
ITEM026,Warehouse Team,2,92,77,77,False,False,Overcount
ITEM026,Team Leader,1,77,77,77,True,True,Accurate
ITEM026,Team Leader,2,77,77,77,True,True,Accurate
ITEM027,Pharmacy Staff,1,8,10,10,False,False,Undercount
ITEM027,Pharmacy Staff,2,10,10,10,True,True,Accurate
ITEM027,Warehouse Team,1,12,10,10,False,False,Overcount
ITEM027,Warehouse Team,2,10,10,10,True,True,Accurate
ITEM027,Team Leader,1,10,10,10,True,True,Accurate
ITEM027,Team Leader,2,9,10,10,False,True,Accurate
ITEM028,Pharmacy Staff,1,17,17,17,True,True,Accurate
ITEM028,Pharmacy Staff,2,17,17,17,True,True,Accurate
ITEM028,Warehouse Team,1,17,17,17,True,True,Accurate
ITEM028,Warehouse Team,2,17,17,17,True,True,Accurate
ITEM028,Team Leader,1,17,17,17,True,True,Accurate
ITEM028,Team Leader,2,17,17,17,True,True,Accurate
ITEM029,Pharmacy Staff,1,55,68,68,False,False,Undercount
ITEM029,Pharmacy Staff,2,68,68,68,True,True,Accurate
ITEM029,Warehouse Team,1,68,68,68,True,True,Accurate
ITEM029,Warehouse Team,2,69,68,68,False,True,Accurate
ITEM029,Team Leader,1,68,68,68,True,True,Accurate
ITEM029,Team Leader,2,68,68,68,True,True,Accurate
ITEM030,Pharmacy Staff,1,11,11,11,True,True,Accurate
ITEM030,Pharmacy Staff,2,11,11,11,True,True,Accurate
ITEM030,Warehouse Team,1,11,11,11,True,True,Accurate
ITEM030,Warehouse Team,2,11,11,11,True,True,Accurate
ITEM030,Team Leader,1,11,11,11,True,True,Accurate
ITEM030,Team Leader,2,11,11,11,True,True,Accurate
ITEM031,Pharmacy Staff,1,15,15,15,True,True,Accurate
ITEM031,Pharmacy Staff,2,15,15,15,True,True,Accurate
ITEM031,Warehouse Team,1,15,15,15,True,True,Accurate
ITEM031,Warehouse Team,2,15,15,15,True,True,Accurate
ITEM031,Team Leader,1,15,15,15,True,True,Accurate
ITEM031,Team Leader,2,15,15,15,True,True,Accurate
ITEM032,Pharmacy Staff,1,62,61,61,False,True,Accurate
ITEM032,Pharmacy Staff,2,60,61,61,False,True,Accurate
ITEM032,Warehouse Team,1,49,61,61,False,False,Undercount
ITEM032,Warehouse Team,2,49,61,61,False,False,Undercount
ITEM032,Team Leader,1,62,61,61,False,True,Accurate
ITEM032,Team Leader,2,62,61,61,False,True,Accurate
ITEM033,Pharmacy Staff,1,16,20,20,False,False,Undercount
ITEM033,Pharmacy Staff,2,20,20,20,True,True,Accurate
ITEM033,Warehouse Team,1,20,20,20,True,True,Accurate
ITEM033,Warehouse Team,2,20,20,20,True,True,Accurate
ITEM033,Team Leader,1,20,20,20,True,True,Accurate
ITEM033,Team Leader,2,20,20,20,True,True,Accurate
ITEM034,Pharmacy Staff,1,13,12,12,False,True,Accurate
ITEM034,Pharmacy Staff,2,10,12,12,False,False,Undercount
ITEM034,Warehouse Team,1,12,12,12,True,True,Accurate
ITEM034,Warehouse Team,2,12,12,12,True,True,Accurate
ITEM034,Team Leader,1,12,12,12,True,True,Accurate
ITEM034,Team Leader,2,12,12,12,True,True,Accurate
ITEM035,Pharmacy Staff,1,12,12,12,True,True,Accurate
ITEM035,Pharmacy Staff,2,12,12,12,True,True,Accurate
ITEM035,Warehouse Team,1,12,12,12,True,True,Accurate
ITEM035,Warehouse Team,2,12,12,12,True,True,Accurate
ITEM035,Team Leader,1,12,12,12,True,True,Accurate
ITEM035,Team Leader,2,12,12,12,True,True,Accurate
ITEM036,Pharmacy Staff,1,12,15,15,False,False,Undercount
ITEM036,Pharmacy Staff,2,15,15,15,True,True,Accurate
ITEM036,Warehouse Team,1,15,15,15,True,True,Accurate
ITEM036,Warehouse Team,2,15,15,15,True,True,Accurate
ITEM036,Team Leader,1,15,15,15,True,True,Accurate
ITEM036,Team Leader,2,15,15,15,True,True,Accurate
ITEM037,Pharmacy Staff,1,17,18,18,False,True,Accurate
ITEM037,Pharmacy Staff,2,18,18,18,True,True,Accurate
ITEM037,Warehouse Team,1,18,18,18,True,True,Accurate
ITEM037,Warehouse Team,2,18,18,18,True,True,Accurate
ITEM037,Team Leader,1,18,18,18,True,True,Accurate
ITEM037,Team Leader,2,18,18,18,True,True,Accurate
ITEM038,Pharmacy Staff,1,18,18,18,True,True,Accurate
ITEM038,Pharmacy Staff,2,18,18,18,True,True,Accurate
ITEM038,Warehouse Team,1,18,18,18,True,True,Accurate
ITEM038,Warehouse Team,2,18,18,18,True,True,Accurate
ITEM038,Team Leader,1,18,18,18,True,True,Accurate
ITEM038,Team Leader,2,18,18,18,True,True,Accurate
ITEM039,Pharmacy Staff,1,19,19,19,True,True,Accurate
ITEM039,Pharmacy Staff,2,18,19,19,False,True,Accurate
ITEM039,Warehouse Team,1,16,19,19,False,False,Undercount
ITEM039,Warehouse Team,2,19,19,19,True,True,Accurate
ITEM039,Team Leader,1,19,19,19,True,True,Accurate
ITEM039,Team Leader,2,19,19,19,True,True,Accurate
ITEM040,Pharmacy Staff,1,17,18,18,False,True,Accurate
ITEM040,Pharmacy Staff,2,18,18,18,True,True,Accurate
ITEM040,Warehouse Team,1,18,18,18,True,True,Accurate
ITEM040,Warehouse Team,2,18,18,18,True,True,Accurate
ITEM040,Team Leader,1,18,18,18,True,True,Accurate
ITEM040,Team Leader,2,18,18,18,True,True,Accurate
ITEM041,Pharmacy Staff,1,7,7,7,True,True,Accurate
ITEM041,Pharmacy Staff,2,6,7,7,False,True,Accurate
ITEM041,Warehouse Team,1,7,7,7,True,True,Accurate
ITEM041,Warehouse Team,2,7,7,7,True,True,Accurate
ITEM041,Team Leader,1,7,7,7,True,True,Accurate
ITEM041,Team Leader,2,7,7,7,True,True,Accurate
ITEM042,Pharmacy Staff,1,60,74,74,False,False,Undercount
ITEM042,Pharmacy Staff,2,74,74,74,True,True,Accurate
ITEM042,Warehouse Team,1,75,74,74,False,True,Accurate
ITEM042,Warehouse Team,2,74,74,74,True,True,Accurate
ITEM042,Team Leader,1,74,74,74,True,True,Accurate
ITEM042,Team Leader,2,74,74,74,True,True,Accurate
ITEM043,Pharmacy Staff,1,82,83,83,False,True,Accurate
ITEM043,Pharmacy Staff,2,99,83,83,False,False,Overcount
ITEM043,Warehouse Team,1,99,83,83,False,False,Overcount
ITEM043,Warehouse Team,2,83,83,83,True,True,Accurate
ITEM043,Team Leader,1,67,83,83,False,False,Undercount
ITEM043,Team Leader,2,67,83,83,False,False,Undercount
ITEM044,Pharmacy Staff,1,10,9,9,False,True,Accurate
ITEM044,Pharmacy Staff,2,8,9,9,False,True,Accurate
ITEM044,Warehouse Team,1,9,9,9,True,True,Accurate
ITEM044,Warehouse Team,2,10,9,9,False,True,Accurate
ITEM044,Team Leader,1,9,9,9,True,True,Accurate
ITEM044,Team Leader,2,10,9,9,False,True,Accurate
ITEM045,Pharmacy Staff,1,7,7,7,True,True,Accurate
ITEM045,Pharmacy Staff,2,7,7,7,True,True,Accurate
ITEM045,Warehouse Team,1,7,7,7,True,True,Accurate
ITEM045,Warehouse Team,2,7,7,7,True,True,Accurate
ITEM045,Team Leader,1,6,7,7,False,True,Accurate
ITEM045,Team Leader,2,7,7,7,True,True,Accurate
ITEM046,Pharmacy Staff,1,5,5,5,True,True,Accurate
ITEM046,Pharmacy Staff,2,5,5,5,True,True,Accurate
ITEM046,Warehouse Team,1,5,5,5,True,True,Accurate
ITEM046,Warehouse Team,2,5,5,5,True,True,Accurate
ITEM046,Team Leader,1,5,5,5,True,True,Accurate
ITEM046,Team Leader,2,5,5,5,True,True,Accurate
ITEM047,Pharmacy Staff,1,3,3,3,True,True,Accurate
ITEM047,Pharmacy Staff,2,3,3,3,True,True,Accurate
ITEM047,Warehouse Team,1,3,3,3,True,True,Accurate
ITEM047,Warehouse Team,2,3,3,3,True,True,Accurate
ITEM047,Team Leader,1,3,3,3,True,True,Accurate
ITEM047,Team Leader,2,4,3,3,False,True,Accurate
ITEM048,Pharmacy Staff,1,7,7,7,True,True,Accurate
ITEM048,Pharmacy Staff,2,7,7,7,True,True,Accurate
ITEM048,Warehouse Team,1,7,7,7,True,True,Accurate
ITEM048,Warehouse Team,2,7,7,7,True,True,Accurate
ITEM048,Team Leader,1,7,7,7,True,True,Accurate
ITEM048,Team Leader,2,8,7,7,False,True,Accurate
ITEM049,Pharmacy Staff,1,39,40,40,False,True,Accurate
ITEM049,Pharmacy Staff,2,40,40,40,True,True,Accurate
ITEM049,Warehouse Team,1,40,40,40,True,True,Accurate
ITEM049,Warehouse Team,2,40,40,40,True,True,Accurate
ITEM049,Team Leader,1,40,40,40,True,True,Accurate
ITEM049,Team Leader,2,40,40,40,True,True,Accurate
ITEM050,Pharmacy Staff,1,91,92,92,False,True,Accurate
ITEM050,Pharmacy Staff,2,93,92,92,False,True,Accurate
ITEM050,Warehouse Team,1,92,92,92,True,True,Accurate
ITEM050,Warehouse Team,2,92,92,92,True,True,Accurate
ITEM050,Team Leader,1,91,92,92,False,True,Accurate
ITEM050,Team Leader,2,93,92,92,False,True,Accurate
ITEM051,Pharmacy Staff,1,7,7,7,True,True,Accurate
ITEM051,Pharmacy Staff,2,7,7,7,True,True,Accurate
ITEM051,Warehouse Team,1,7,7,7,True,True,Accurate
ITEM051,Warehouse Team,2,7,7,7,True,True,Accurate
ITEM051,Team Leader,1,7,7,7,True,True,Accurate
ITEM051,Team Leader,2,7,7,7,True,True,Accurate
ITEM052,Pharmacy Staff,1,36,37,37,False,True,Accurate
ITEM052,Pharmacy Staff,2,38,37,37,False,True,Accurate
ITEM052,Warehouse Team,1,38,37,37,False,True,Accurate
ITEM052,Warehouse Team,2,30,37,37,False,False,Undercount
ITEM052,Team Leader,1,44,37,37,False,False,Overcount
ITEM052,Team Leader,2,36,37,37,False,True,Accurate
ITEM053,Pharmacy Staff,1,8,8,8,True,True,Accurate
ITEM053,Pharmacy Staff,2,8,8,8,True,True,Accurate
ITEM053,Warehouse Team,1,8,8,8,True,True,Accurate
ITEM053,Warehouse Team,2,8,8,8,True,True,Accurate
ITEM053,Team Leader,1,8,8,8,True,True,Accurate
ITEM053,Team Leader,2,9,8,8,False,True,Accurate
ITEM054,Pharmacy Staff,1,13,13,13,True,True,Accurate
ITEM054,Pharmacy Staff,2,13,13,13,True,True,Accurate
ITEM054,Warehouse Team,1,13,13,13,True,True,Accurate
ITEM054,Warehouse Team,2,12,13,13,False,True,Accurate
ITEM054,Team Leader,1,12,13,13,False,True,Accurate
ITEM054,Team Leader,2,12,13,13,False,True,Accurate
ITEM055,Pharmacy Staff,1,17,16,16,False,True,Accurate
ITEM055,Pharmacy Staff,2,16,16,16,True,True,Accurate
ITEM055,Warehouse Team,1,16,16,16,True,True,Accurate
ITEM055,Warehouse Team,2,16,16,16,True,True,Accurate
ITEM055,Team Leader,1,16,16,16,True,True,Accurate
ITEM055,Team Leader,2,16,16,16,True,True,Accurate
ITEM056,Pharmacy Staff,1,18,18,18,True,True,Accurate
ITEM056,Pharmacy Staff,2,18,18,18,True,True,Accurate
ITEM056,Warehouse Team,1,18,18,18,True,True,Accurate
ITEM056,Warehouse Team,2,21,18,18,False,False,Overcount
ITEM056,Team Leader,1,19,18,18,False,True,Accurate
ITEM056,Team Leader,2,18,18,18,True,True,Accurate
ITEM057,Pharmacy Staff,1,2,2,2,True,True,Accurate
ITEM057,Pharmacy Staff,2,3,2,2,False,True,Accurate
ITEM057,Warehouse Team,1,2,2,2,True,True,Accurate
ITEM057,Warehouse Team,2,2,2,2,True,True,Accurate
ITEM057,Team Leader,1,2,2,2,True,True,Accurate
ITEM057,Team Leader,2,2,2,2,True,True,Accurate
ITEM058,Pharmacy Staff,1,10,10,10,True,True,Accurate
ITEM058,Pharmacy Staff,2,10,10,10,True,True,Accurate
ITEM058,Warehouse Team,1,10,10,10,True,True,Accurate
ITEM058,Warehouse Team,2,10,10,10,True,True,Accurate
ITEM058,Team Leader,1,9,10,10,False,True,Accurate
ITEM058,Team Leader,2,10,10,10,True,True,Accurate
ITEM059,Pharmacy Staff,1,28,28,28,True,True,Accurate
ITEM059,Pharmacy Staff,2,29,28,28,False,True,Accurate
ITEM059,Warehouse Team,1,27,28,28,False,True,Accurate
ITEM059,Warehouse Team,2,27,28,28,False,True,Accurate
ITEM059,Team Leader,1,28,28,28,True,True,Accurate
ITEM059,Team Leader,2,33,28,28,False,False,Overcount
ITEM060,Pharmacy Staff,1,14,14,14,True,True,Accurate
ITEM060,Pharmacy Staff,2,14,14,14,True,True,Accurate
ITEM060,Warehouse Team,1,14,14,14,True,True,Accurate
ITEM060,Warehouse Team,2,14,14,14,True,True,Accurate
ITEM060,Team Leader,1,14,14,14,True,True,Accurate
ITEM060,Team Leader,2,14,14,14,True,True,Accurate
